Group,Item,Total Hits,Positive Hits,Neutral Hits,Negative Hits,Item Color
All,#LuigiMangione,7102,961,3724,2417,#f7d794
All,#LuigiCrave,1507,244,1146,117,#f3a683
All,#UnitedHealthcare,1281,44,620,617,#ea8685
All,#BREAKING,1170,3,309,858,#cf6a87
All,#Luigimangione,1069,39,936,94,#b53471
All,#CEOAssassination,923,19,760,144,#833471
All,#ErasTour,892,28,833,31,#786fa6
All,#BrianThompson,865,58,333,474,#5758bb
All,#Luigi,753,65,396,292,#778beb
All,#luigimangione,739,68,381,290,#596275
All,#Politics,583,30,230,323,#1b1464
All,#US,581,29,216,336,#0652dd
All,#Sports,557,28,210,319,#1289a7
All,#ShowBiz,551,28,205,318,#63cdda
All,#Celebs,551,28,205,318,#12cbc4
All,#FreeLuigi,481,37,281,163,#fda7df
All,#UnitedHealthcareAssassin,476,32,190,254,#d980fa
All,#LuigiManigone,453,28,396,29,#9980fa
All,#unitedhealthcare,401,34,226,141,#7CD8BF
All,#LuigiMagione,370,13,310,47,#286215
All,#Luigkanda,343,342,1,0,#C12E5D
All,#McDonalds,323,43,141,139,#EFCCB4
All,#news,315,13,145,157,#DCA99F
All,#FreeHim,314,1,7,306,#C6755A
All,#intinyadeh,313,290,16,7,#BABF79
All,#FreeMumia,304,0,1,303,#7B5F7C
All,#Mangione,299,14,65,220,#33224D
All,#PATRIOT,287,26,106,155,#744841
All,#healthcare,269,11,159,99,#497416
All,#memecoin,262,13,241,8,#A9155E
All,#solana,240,3,230,7,#573689
All,#crypto,239,8,223,8,#909972
All,#NYPD,238,15,101,122,#6C0E51
All,#brianthompson,236,18,130,88,#3DDED7
All,#Breloom,227,21,101,105,#DC9021
All,#Dave,222,20,99,103,#909B7A
All,#Daniel,221,21,97,103,#4BA1CA
All,#luigi,216,25,101,90,#1DF16E
All,#BreakingNews,211,3,87,121,#081556
All,#Arrest,208,9,81,118,#4C63BB
All,#btc,200,5,191,4,#B18279
All,#George,200,8,78,114,#66A16E
All,#CEO,180,14,68,98,#10BF86
All,#Vatican,177,8,64,105,#25850C
All,#Pennsylvania,160,1,38,121,#D395D3
All,#FreeLuigiMangione,160,22,63,75,#1E2A82
All,#ceo,156,12,90,54,#1B4D0C
All,#Trudeau,140,0,45,95,#777B61
All,#LuigManigone,139,5,61,73,#9A8746
All,#News,137,3,85,49,#578592
All,#New,136,0,51,85,#346059
All,#HealthcareForAll,130,0,100,30,#665B44
All,#nyc,119,12,68,39,#902B8B
All,#UHC,118,14,70,34,#4D3B17
All,#Altoona,118,0,33,85,#DA4567
All,#Schiff,115,0,29,86,#2EA065
All,#canada,114,0,98,16,#E60987
All,#Billionaires,114,0,97,17,#030C6C
All,#14th,114,8,55,51,#74BCA9
All,#universalhealthcare,112,1,95,16,#694F45
All,#NeverVoteConservative,111,0,95,16,#630C21
All,#BrianThompsonAssassination,108,4,30,74,#A42BD2
All,#DanielPenny,101,9,57,35,#A6154F
All,#breakingnews,100,10,69,21,#9D618E
All,#Solana,99,11,86,2,#D55C0D
All,#mulherdepreso,98,1,94,3,#2C6C4E
All,#Turetta,95,0,1,94,#2AAD95
All,#TheAdjuster,92,16,63,13,#88542F
All,#mufc,91,0,0,91,#7C5A6B
All,#crime,90,10,40,40,#BBDF0F
All,#cryptocurrency,89,0,87,2,#E73754
All,#TrueCrime,89,2,43,44,#AA630E
All,#shorts,87,12,45,30,#5414CF
All,#luigimangioni,84,4,41,39,#933993
All,#newyork,81,4,44,33,#362DA6
All,#McConnell,79,0,20,59,#764E87
All,#unitedhealthcareceo,78,3,35,40,#1DDAA1
All,#NewYork,76,5,28,43,#3E5168
All,#UnitedHealthCare,74,2,41,31,#18D02A
All,#Trump,74,2,40,32,#B756C7
All,#USA,73,0,52,21,#8A5754
All,#SNL,73,69,2,2,#CFC76A
All,#trump,71,6,29,36,#447047
All,#politics,69,5,26,38,#B5792B
All,#NYC,68,4,25,39,#BF04D2
All,#us,67,0,22,45,#4A2AB9
All,#murder,66,0,23,43,#CD2DAB
All,#dwts,66,0,66,0,#96CFEE
All,#Obamacare,66,0,11,55,#74361E
All,#Nancy,65,0,19,46,#722658
All,#luigimagione,63,6,21,36,#8CA080
All,#DemsUnited,61,0,31,30,#47BFCD
All,#trending,59,7,36,16,#5A816C
All,#cnn,58,1,13,44,#6D5EAA
All,#shooter,56,0,24,32,#115E99
All,#celebrity,56,1,15,40,#447E0C
All,#CEOassassin,56,2,23,31,#67EA9D
All,#world,55,0,14,41,#6D9F70
All,#LifeIsStrange,55,0,0,55,#EDEFAF
All,#usa,54,2,13,39,#8E8639
