Group,Item,Total Hits,Positive Hits,Neutral Hits,Negative Hits,Item Color
All,'@PopBase,51895,1856,18339,31700,#f7d794
All,'@PopCrave,41490,3996,13306,24188,#f3a683
All,'@kenklippenstein,8414,82,1591,6741,#ea8685
All,'@SyeClops,5802,3474,1831,497,#cf6a87
All,'@TMZ,5563,32,1272,4259,#b53471
All,'@nypost,5406,37,1694,3675,#833471
All,'@LauraLoomer,4369,2,2613,1754,#786fa6
All,'@danishacarterr,4362,1354,15,2993,#5758bb
All,'@shortmagsmle,3835,17,208,3610,#778beb
All,'@peruvian_bull,3585,3,28,3554,#596275
All,'@ProudSocialist,3560,1,452,3107,#1b1464
All,'@FoxNews,3429,18,577,2834,#0652dd
All,'@ThatDudeTaco,3170,224,2695,251,#1289a7
All,'@LuigiCrave,2987,273,2322,392,#63cdda
All,'@CollinRugg,2852,15,1777,1060,#12cbc4
All,'@AFpost,2749,64,2341,344,#fda7df
All,'@LolOverruled,2477,8,2414,55,#d980fa
All,'@verythickvajjjj,2364,0,0,2364,#9980fa
All,'@JeffSchuhrke,2279,0,14,2265,#548C72
All,'@kodstrangeer,2272,86,1450,736,#5A6F24
All,'@JtasticVA,2209,11,696,1502,#3A4254
All,'@crispytine_,2208,1575,613,20,#A98A3C
All,'@sadhotgirI,2167,0,2,2165,#BD4C98
All,'@BRATZSOPE,2165,0,0,2165,#7A9F31
All,'@NotDevinsMom,2162,0,47,2115,#2B8E17
All,'@konradson,2082,117,1115,850,#5D4544
All,'@SOTSPodcast,2081,19,2036,26,#84AA7F
All,'@cnnbrk,2078,3,534,1541,#891FAA
All,'@latkedelrey,2069,0,0,2069,#96BFB3
All,'@Israel,2041,0,0,2041,#33534F
All,'@HoldKneeCloser,2038,0,0,2038,#0A04B7
All,'@oIiveflounderz,1979,0,0,1979,#777A0C
All,'@homoclassical,1969,0,106,1863,#551F34
All,'@BrianEntin,1923,10,354,1559,#796353
All,'@_johnsonator,1915,98,45,1772,#7B4612
All,'@ShadowofEzra,1797,14,1123,660,#9C68AB
All,'@LawyerLeeW,1744,0,1629,115,#8E9639
All,'@willyFfernando,1639,0,1636,3,#196155
All,'@Yuritones,1574,0,0,1574,#0B4F15
All,'@bchartsnet,1568,3,119,1446,#906BA1
All,'@leahdionne__,1537,4,1521,12,#4F3C23
All,'@halalltakeaway,1534,1532,2,0,#700F16
All,'@whambamcamm_,1503,0,4,1499,#DF6D86
All,'@billyjoelxcx,1503,1499,3,1,#7EA4BC
All,'@Wolverines37507,1502,0,0,1502,#80608B
All,'@dilfsuke,1500,0,1497,3,#1FA583
All,'@HueyJackNation,1498,57,1422,19,#9561CD
All,'@catluvsdnp,1496,0,1496,0,#2F5FA6
All,'@PepMangione,1470,66,448,956,#EAEE21
All,'@KhairyCreek,1447,0,1,1446,#3F592C
All,'@audragabrielle_,1391,0,0,1391,#8278AA
All,'@MailOnline,1384,0,64,1320,#945589
All,'@MikeBeauvais,1375,2,23,1350,#92578E
All,'@swindellium,1350,1,2,1347,#2B9935
All,'@derhausputz,1348,0,0,1348,#BBA172
All,'@benryanwriter,1341,21,966,354,#4073C4
All,'@briebriejoy,1337,0,1,1336,#872956
All,'@CultureCrave,1327,1,23,1303,#87A7BC
All,'@vidsthatgohard,1283,37,1076,170,#885E80
All,'@BNONews,1281,2,79,1200,#3F6193
All,'@SpiritofLenin,1273,0,0,1273,#2AB891
All,'@adamgreattweet,1264,4,1247,13,#017B42
All,'@eldivino__,1248,0,0,1248,#1376CB
All,'@PopFlopHQ,1227,5,1012,210,#DF4D4E
All,'@Roco__23,1224,0,1224,0,#B65B01
All,'@dirkdelacroix,1219,1216,0,3,#5E87A9
All,'@elijahdaniel,1214,6,1119,89,#9F5EDD
All,'@ctrlhuda,1197,0,1197,0,#CF920B
All,'@bellasphemy_,1195,25,583,587,#CF6453
All,'@SecMayorkas,1191,0,1173,18,#7A2527
All,'@MarkJHetfield,1191,0,1173,18,#9B983C
All,'@HIASrefugees,1191,0,1173,18,#903EC3
All,'@LoomerUnleashed,1188,0,1170,18,#B89858
All,'@CcpSkipTracer,1188,0,1170,18,#026891
All,'@jeremykauffman,1156,2,10,1144,#291F6F
All,'@kizuriley,1139,0,1135,4,#B71DD6
All,'@WellsLucasSanto,1139,0,1137,2,#3F8542
All,'@010102iv000,1123,0,1,1122,#776C40
All,'@sahilkapur,1102,0,0,1102,#92D617
All,'@MushyStuff__,1102,0,0,1102,#A8D074
All,'@diigitalbath,1080,0,1080,0,#727144
All,'@Acyn,1061,2,85,974,#587FD5
All,'@JohnFetterman,1043,0,0,1043,#432B6C
All,'@Jay2Goat_,1037,1037,0,0,#3B664C
All,'@deeply_cursed,1036,0,2,1034,#E26EF1
All,'@34ST,1036,40,845,151,#720B63
All,'@bennyjohnson,1028,3,554,471,#A73565
All,'@tzannatzik,1021,1,1018,2,#602C2A
All,'@nuriauriel28,1017,0,1,1016,#870E2D
All,'@BritneyTheStan,995,17,961,17,#784C5D
All,'@mattxiv,988,102,19,867,#56A468
All,'@nopeify,982,0,0,982,#E6B3CC
All,'@mar3uss,958,0,1,957,#4E5772
All,'@nelybritoo,952,7,0,945,#39D771
All,'@FOXBaltimore,947,16,363,568,#966037
All,'@dandysm0tt,925,0,925,0,#28AE87
All,'@MattWallace888,925,1,590,334,#856672
All,'@cfree94,922,13,909,0,#4E2F33
All,'@itsscndnature,920,920,0,0,#31891E
All,'@LyricVault,911,51,836,24,#861384
