Fecha,"Mentions"
09/12/24 00:00:00,24
09/12/24 01:00:00,20
09/12/24 02:00:00,17
09/12/24 03:00:00,18
09/12/24 04:00:00,15
09/12/24 05:00:00,30
09/12/24 06:00:00,65
09/12/24 07:00:00,512
09/12/24 08:00:00,303
09/12/24 09:00:00,193
09/12/24 10:00:00,442
09/12/24 11:00:00,241
09/12/24 12:00:00,669
09/12/24 13:00:00,19077
09/12/24 14:00:00,80433
09/12/24 15:00:00,101764
09/12/24 16:00:00,109909
09/12/24 17:00:00,102482
09/12/24 18:00:00,114414
09/12/24 19:00:00,138892
09/12/24 20:00:00,91145
09/12/24 21:00:00,80360
09/12/24 22:00:00,73307
09/12/24 23:00:00,67981
10/12/24 00:00:00,55058
10/12/24 01:00:00,46637
10/12/24 02:00:00,42048
10/12/24 03:00:00,35343
10/12/24 04:00:00,33493
10/12/24 05:00:00,35529
10/12/24 06:00:00,38536
10/12/24 07:00:00,44624
10/12/24 08:00:00,50407
10/12/24 09:00:00,55518
10/12/24 10:00:00,56025
10/12/24 11:00:00,60392
10/12/24 12:00:00,61432
10/12/24 13:00:00,61264
10/12/24 14:00:00,71445
10/12/24 15:00:00,67533
10/12/24 16:00:00,73020
10/12/24 17:00:00,70036
10/12/24 18:00:00,65271
10/12/24 19:00:00,83428
10/12/24 20:00:00,53215
10/12/24 21:00:00,49441
10/12/24 22:00:00,45614
10/12/24 23:00:00,41111
11/12/24 00:00:00,33318
11/12/24 01:00:00,28987
11/12/24 02:00:00,23718
11/12/24 03:00:00,20202
11/12/24 04:00:00,19986
11/12/24 05:00:00,19792
11/12/24 06:00:00,23857
11/12/24 07:00:00,27573
11/12/24 08:00:00,31304
11/12/24 09:00:00,35621
11/12/24 10:00:00,35464
11/12/24 11:00:00,35595
11/12/24 12:00:00,34079
11/12/24 13:00:00,35976
11/12/24 14:00:00,32905
11/12/24 15:00:00,30812
11/12/24 16:00:00,29554
11/12/24 17:00:00,28629
11/12/24 18:00:00,24381
11/12/24 19:00:00,21976
11/12/24 20:00:00,19975
11/12/24 21:00:00,19513
11/12/24 22:00:00,17963
11/12/24 23:00:00,14941
12/12/24 00:00:00,13323
12/12/24 01:00:00,10912
12/12/24 02:00:00,10092
12/12/24 03:00:00,8785
12/12/24 04:00:00,9033
12/12/24 05:00:00,8314
12/12/24 06:00:00,10698
12/12/24 07:00:00,12859
12/12/24 08:00:00,14434
12/12/24 09:00:00,8832
12/12/24 10:00:00,8
12/12/24 11:00:00,10
12/12/24 12:00:00,9
12/12/24 13:00:00,9
12/12/24 14:00:00,0
12/12/24 15:00:00,1
